relative_path,size_bytes,size_human,sha256,backup_required,repo_policy
outputs/红楼梦全量变量投影库_CH001_120/红楼梦全量变量投影库_CH001_120.sqlite,129273856,123.3MB,c8025b91edddc7969b3e1e9b0e776dc009dc91c13156eeba68bf5488c438bd56,yes,manifest_only
outputs/红楼梦干净聚拢坐标库_CH001_005_模板/红楼梦干净聚拢坐标库_CH001_005_模板.sqlite,3297280,3.1MB,a40473077de60de59ef985df3a053cd15c7a5c904ed069a277e55e1ec95973b8,yes,manifest_only
outputs/红楼梦干净聚拢坐标库_CH001_120_全量/红楼梦干净聚拢坐标库_CH001_120_全量.sqlite,66154496,63.1MB,68d7d0adfa8e0d44e7e3840a85f1ecaae412dab5b28561cc1e856d1a9bd7bdfa,yes,manifest_only
outputs/红楼梦正式取材专库/00_双中心取材总库/01_语义聚拢查询中心库/红楼梦语义聚拢中心库_CH001_120.sqlite,57090048,54.4MB,ebb3401cdda279d6b079e9980ea52983c2ea729253d48621f8c238385c02d9eb,yes,manifest_only
outputs/红楼梦正式取材专库/00_双中心取材总库/02_坐标查询中心库/红楼梦坐标查询中心库_CH001_120.sqlite,129273856,123.3MB,c8025b91edddc7969b3e1e9b0e776dc009dc91c13156eeba68bf5488c438bd56,yes,manifest_only
outputs/红楼梦正式取材专库/01_正文原文与词位库/红楼梦全文字位原子段桥表_CH001_120.sqlite,178421760,170.2MB,d2d2dadda74b9ce2d3c38408d807520c0d27f5433d8a57ea6e94231bb7115d61,yes,manifest_only
outputs/红楼梦正式取材专库/01_正文原文与词位库/红楼梦全文词位材料索引库_CH001_120.sqlite,508477440,484.9MB,6695cb4948cb27ba0be4c3af2583056f557b561b276c65c9b82467bf9686be6e,yes,manifest_only
outputs/红楼梦正式取材专库/02_坐标变量库/红楼梦全量变量投影库_CH001_120.sqlite,129273856,123.3MB,c8025b91edddc7969b3e1e9b0e776dc009dc91c13156eeba68bf5488c438bd56,yes,manifest_only
outputs/红楼梦正式取材专库/04_语义聚拢轴库/formal_honglou_axis.sqlite,57090048,54.4MB,ebb3401cdda279d6b079e9980ea52983c2ea729253d48621f8c238385c02d9eb,yes,manifest_only
outputs/红楼梦正式取材专库/05_全文检索旧库/formal_honglou_search.sqlite,166285312,158.6MB,178c6b3e699bf51943a17706107db7707f1b525f0199459dd34e77df735c33af,yes,manifest_only
outputs/红楼梦编码增强样板_CH001_005_样板/红楼梦编码增强样板_CH001_005_样板.sqlite,2293760,2.2MB,34fca6d57da9d6c0919b7f0620d1a12f3d9e054a96cdf6a45831a3cd27b582fe,yes,manifest_only
outputs/红楼梦编码增强追加层_CH001_005_样板/红楼梦编码增强追加层_CH001_005_样板.sqlite,2293760,2.2MB,155d81973d762fc506517e2848b6d2fbec3a5b1e36d6001bb9a217455f1a7f64,yes,manifest_only
outputs/红楼梦编码增强追加层_CH001_120_全量/红楼梦编码增强追加层_CH001_120_全量.sqlite,45903872,43.8MB,aeb444dca5c4a4748b65c1004a702662b82ee25577a6798e3a8575691c90b69e,yes,manifest_only
outputs/红楼梦聚拢坐标映射总库_CH001_120/backups/20260621_223738_pre_refined_atom_segments/红楼梦聚拢坐标映射总库_CH001_120.sqlite,112041984,106.9MB,8847fd36c0db416fc59fb959c8601c55cb575e02c5bdf84843826f63fa008fe8,yes,manifest_only
outputs/红楼梦聚拢坐标映射总库_CH001_120/红楼梦聚拢坐标映射总库_CH001_120.sqlite,813715456,776.0MB,47463fee550c2d004dd1d189f536fb651ef383e12c41d0d7f13811703bd55867,yes,manifest_only
